domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Archaea	phylum	Nanobdellota	2673	1861	702	1	17	148	421	702
Archaea	phylum	Thermoproteota	6060	2306	1145	9	28	99	338	1145
Archaea	phylum	Halobacteriota	3795	1879	1106	11	17	41	225	1106
Archaea	phylum	Thermoplasmatota	4961	1647	546	8	29	56	180	546
Archaea	phylum	Micrarchaeota	1358	540	190	1	6	25	93	190
Archaea	phylum	Aenigmatarchaeota	497	371	98	1	8	23	67	98
Archaea	phylum	Asgardarchaeota	622	400	90	8	11	17	41	90
Archaea	phylum	Iainarchaeota	280	215	58	1	3	20	35	58
Archaea	phylum	Methanobacteriota	1130	330	224	1	2	4	28	224
Archaea	phylum	Nanohalarchaeota	84	70	28	1	1	3	18	28
Archaea	phylum	Methanobacteriota_B	263	133	99	1	2	6	15	99
Archaea	phylum	Hydrothermarchaeota	51	38	21	1	2	10	14	21
Archaea	phylum	Hadarchaeota	115	66	26	2	2	5	12	26
Archaea	phylum	Altiarchaeota	91	61	13	1	1	4	11	13
Archaea	phylum	B1Sed10-29	41	31	11	1	2	8	10	11
Archaea	phylum	Korarchaeota	106	43	25	2	3	4	8	25
Archaea	phylum	EX4484-52	55	42	10	1	1	6	7	10
Archaea	phylum	SpSt-1190	20	17	8	1	3	4	7	8
Archaea	phylum	AGJL01	86	40	30	1	1	2	5	30
Archaea	phylum	CAYQAE01	5	5	4	1	2	2	4	4
Archaea	phylum	Undinarchaeota	26	17	2	2	2	2	2	2
Archaea	phylum	CAYFZR01	2	2	1	1	1	1	1	1
Archaea	phylum	JAADCQ01	10	6	4	1	1	1	1	4
Archaea	phylum	JACRDV01	1	1	1	1	1	1	1	1
Archaea	phylum	Huberarchaeota	11	1	0	0	0	0	0	0
Archaea	class	Nanobdellia	2673	1861	702	0	17	148	421	702
Archaea	class	Bathyarchaeia	1116	718	312	0	7	29	119	312
Archaea	class	Halobacteria	1388	835	529	0	1	11	103	529
Archaea	class	Thermoplasmata	2643	841	368	0	13	32	97	368
Archaea	class	Micrarchaeia	1358	540	190	0	6	25	93	190
Archaea	class	Thermoprotei_A	1391	352	203	0	4	18	77	203
Archaea	class	Nitrososphaeria	2295	932	458	0	5	20	75	458
Archaea	class	Aenigmatarchaeia	497	371	98	0	8	23	67	98
Archaea	class	Methanosarcinia	955	392	231	0	3	8	40	231
Archaea	class	E2	248	197	76	0	3	7	38	76
Archaea	class	Iainarchaeia	280	215	58	0	3	20	35	58
Archaea	class	Methanomicrobia	933	408	215	0	1	6	34	215
Archaea	class	Thermoprotei	407	120	73	0	4	13	29	73
Archaea	class	Methanobacteria	1130	330	224	0	2	4	28	224
Archaea	class	Poseidoniia	1953	522	76	0	2	3	21	76
Archaea	class	Archaeoglobi	222	96	73	0	2	3	20	73
Archaea	class	Methanomethylicia	223	62	35	0	4	9	19	35
Archaea	class	Nanosalinia	84	70	28	0	1	3	18	28
Archaea	class	Thorarchaeia	120	87	24	0	1	2	15	24
Archaea	class	Thermococci	263	133	99	0	2	6	15	99
Archaea	class	Hydrothermarchaeia	51	38	21	0	2	10	14	21
Archaea	class	Syntropharchaeia	138	79	28	0	4	5	13	28
Archaea	class	Altiarchaeia	91	61	13	0	1	4	11	13
Archaea	class	Lokiarchaeia	228	161	40	0	2	3	11	40
Archaea	class	Hadarchaeia	114	65	25	0	1	4	11	25
Archaea	class	Nitrososphaeria_A	484	76	43	0	1	4	11	43
Archaea	class	B1Sed10-29	41	31	11	0	2	8	10	11
Archaea	class	Penumbrarchaeia	53	37	12	0	3	4	10	12
Archaea	class	Heimdallarchaeia	127	83	14	0	3	4	7	14
Archaea	class	EX4484-52	55	42	10	0	1	6	7	10
Archaea	class	SpSt-1190	20	17	8	0	3	4	7	8
Archaea	class	Korarchaeia	99	40	23	0	2	3	6	23
Archaea	class	SW-10-69-26	21	21	6	0	2	4	6	6
Archaea	class	Methanococci	86	40	30	0	1	2	5	30
Archaea	class	CAYQAE01	5	5	4	0	2	2	4	4
Archaea	class	UBA148	22	14	6	0	1	3	4	6
Archaea	class	DTKX01	20	12	4	0	2	2	4	4
Archaea	class	CALKCG01	46	17	8	0	1	3	4	8
Archaea	class	Methanocellia	18	15	8	0	1	1	3	8
Archaea	class	Methanonatronarchaeia	9	7	5	0	1	1	3	5
Archaea	class	EX4484-205	95	26	12	0	1	2	3	12
Archaea	class	Baldrarchaeia	10	5	2	0	1	2	2	2
Archaea	class	Jordiarchaeia	44	11	3	0	1	2	2	3
Archaea	class	Odinarchaeia	11	7	5	0	1	2	2	5
Archaea	class	Bog-38	99	24	5	0	1	1	2	5
Archaea	class	JAWCLZ01	4	4	4	0	1	1	2	4
Archaea	class	JAOZGF01	7	3	2	0	1	1	2	2
Archaea	class	JASEFT01	6	4	2	0	2	2	2	2
Archaea	class	UBA186	4	4	2	0	2	2	2	2
Archaea	class	Hermodarchaeia	27	19	1	0	1	1	1	1
Archaea	class	Wukongarchaeia	5	3	1	0	1	1	1	1
Archaea	class	CAYFZR01	2	2	1	0	1	1	1	1
Archaea	class	B88-G9	1	1	1	0	1	1	1	1
Archaea	class	Methanoliparia	7	5	2	0	1	1	1	2
Archaea	class	Methanopyri	10	6	4	0	1	1	1	4
Archaea	class	JACRDV01	1	1	1	0	1	1	1	1
Archaea	class	CAYNNH01	1	1	1	0	1	1	1	1
Archaea	class	CAZWFW01	1	1	1	0	1	1	1	1
Archaea	class	Undinarchaeia	22	13	1	0	1	1	1	1
Archaea	class	Asgardarchaeia	1	1	0	0	0	0	0	0
Archaea	class	Atabeyarchaeia	4	3	0	0	0	0	0	0
Archaea	class	Njordarchaeia	37	14	0	0	0	0	0	0
Archaea	class	Sifarchaeia	8	6	0	0	0	0	0	0
Archaea	class	Huberarchaeia	11	1	0	0	0	0	0	0
Archaea	class	B47-G6	7	3	0	0	0	0	0	0
Archaea	class	DAOVMN01	2	2	0	0	0	0	0	0
Archaea	class	JAKEGO01	3	3	0	0	0	0	0	0
Archaea	class	JAQUQK01	1	1	0	0	0	0	0	0
Archaea	class	DRAE01	1	1	0	0	0	0	0	0
Archaea	class	QMWL01	1	1	0	0	0	0	0	0
Archaea	class	CAZHTU01	3	3	0	0	0	0	0	0
Bacteria	phylum	Pseudomonadota	324613	46828	32273	5	351	795	4932	32273
Bacteria	phylum	Patescibacteriota	16000	10945	7929	27	238	752	3454	7929
Bacteria	phylum	Bacillota	228026	27167	16863	48	179	550	3257	16863
Bacteria	phylum	Bacteroidota	107378	23901	15468	5	66	354	2462	15468
Bacteria	phylum	Actinomycetota	80926	24968	16115	17	80	287	1993	16115
Bacteria	phylum	Planctomycetota	7556	4995	2625	29	60	142	1186	2625
Bacteria	phylum	Chloroflexota	10423	6831	2951	12	97	250	1062	2951
Bacteria	phylum	Acidobacteriota	10449	7453	4332	19	61	142	985	4332
Bacteria	phylum	Desulfobacterota	8888	4552	2702	40	61	244	918	2702
Bacteria	phylum	Verrucomicrobiota	10795	4825	2572	4	37	221	694	2572
Bacteria	phylum	Cyanobacteriota	8830	3330	2263	3	36	88	526	2263
Bacteria	phylum	Bacillota_I	14528	3799	2187	1	16	43	513	2187
Bacteria	phylum	Myxococcota_A	2374	1658	887	9	34	89	406	887
Bacteria	phylum	Omnitrophota	1392	1030	527	5	41	81	366	527
Bacteria	phylum	Spirochaetota	6259	2013	1113	16	52	104	338	1113
Bacteria	phylum	Gemmatimonadota	3148	2020	1018	3	6	13	267	1018
Bacteria	phylum	Bdellovibrionota	1177	851	560	9	12	37	245	560
Bacteria	phylum	Nitrospirota	2007	1106	697	9	19	46	244	697
Bacteria	phylum	Armatimonadota	1003	638	423	15	23	44	202	423
