accession	source	organism_name
GCA_019057815.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_019058015.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_019058135.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_029856045.1	GTDB:Asgardarchaeota	Promethearchaeia archaeon
GCA_030606485.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_016933055.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_021498125.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_029855935.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_016840465.1	GTDB:Asgardarchaeota	Candidatus Baldrarchaeum yapensis
GCA_964589775.1	GTDB:Asgardarchaeota	uncultured archaeon
GCA_038858525.1	GTDB:Asgardarchaeota	Candidatus Jordarchaeales archaeon
GCA_038889235.1	GTDB:Asgardarchaeota	Candidatus Jordarchaeales archaeon
GCA_019056805.1	GTDB:Asgardarchaeota	Candidatus Baldrarchaeota archaeon
GCA_019057355.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_005191425.1	GTDB:Asgardarchaeota	Candidatus Helarchaeota ASGARD archaeon Hel_GB_B
GCA_021498095.1	GTDB:Asgardarchaeota	Candidatus Harpocratesius repetitus
GCA_964426185.1	GTDB:Asgardarchaeota	uncultured archaeon
GCA_021513695.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeum aukensis
GCA_021513715.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeum endolithica
GCA_048938295.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_003144275.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon B3_Heim
GCA_019057635.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_048882505.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_048886185.1	GTDB:Asgardarchaeota	Candidatus Hermodarchaeota archaeon
GCA_048939265.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_030614005.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_013388835.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_016926735.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_019894715.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_964525635.1	GTDB:Asgardarchaeota	uncultured archaeon
GCA_024276825.1	GTDB:Asgardarchaeota	archaeon
GCA_027031765.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_029882335.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_038893995.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_046483985.1	GTDB:Asgardarchaeota	Promethearchaeia archaeon
GCA_048939465.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_964510585.1	GTDB:Asgardarchaeota	uncultured archaeon
GCA_004524535.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_019058445.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_048887225.1	GTDB:Asgardarchaeota	Candidatus Hodarchaeota archaeon
GCA_048941265.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_005223125.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon Loki_b32
GCA_016839585.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_048885525.1	GTDB:Asgardarchaeota	Candidatus Hermodarchaeota archaeon
GCA_048885705.1	GTDB:Asgardarchaeota	Candidatus Hermodarchaeota archaeon
GCA_048885925.1	GTDB:Asgardarchaeota	Candidatus Hermodarchaeota archaeon
GCA_048941285.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_048941605.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_964396275.1	GTDB:Asgardarchaeota	uncultured archaeon
GCA_964493385.1	GTDB:Asgardarchaeota	uncultured archaeon
GCA_024275415.1	GTDB:Asgardarchaeota	archaeon
GCA_003345555.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_016839265.1	GTDB:Asgardarchaeota	Candidatus Odinarchaeota archaeon
GCA_029856525.1	GTDB:Asgardarchaeota	Candidatus Odinarchaeia archaeon
GCA_038826135.1	GTDB:Asgardarchaeota	Candidatus Odinarchaeota archaeon
GCA_001940665.2	GTDB:Asgardarchaeota	Candidatus Odinarchaeum yellowstonii
GCA_008080745.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_019894665.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_030612005.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
