accession	source	organism_name
GCA_002778785.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium CG10_big_fil_rev_8_21_14_0_10_45_34
GCA_002787535.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_45_16
GCA_001797335.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium GWA2_38_16
GCA_966211455.1	GTDB:Bdellovibrionota	uncultured Bdellovibrio sp.
GCA_002786715.1	GTDB:Bdellovibrionota	Bdellovibrio sp. CG22_combo_CG10-13_8_21_14_all_39_27
GCA_028649655.1	GTDB:Bdellovibrionota	Halobacteriovorax sp. GB3
GCA_035013165.1	GTDB:Bdellovibrionota	Bacteriovorax antarcticus
GCA_022814725.1	GTDB:Bdellovibrionota	Bdellovibrio reynosensis
GCA_027488515.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_947447665.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_964432565.1	GTDB:Bdellovibrionota	uncultured Bacteriovorax sp.
GCA_903881565.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_903895855.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_903898645.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_903926205.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
GCA_031386075.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_903935335.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_913774795.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_937120495.1	GTDB:Bdellovibrionota	uncultured Oligoflexia bacterium
GCA_937927435.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
GCA_964388665.1	GTDB:Bdellovibrionota	uncultured Pseudobdellovibrionaceae bacterium
GCA_964396165.1	GTDB:Bdellovibrionota	uncultured Pseudobdellovibrionaceae bacterium
GCA_030431635.1	GTDB:Bdellovibrionota	Bacteriovoracia bacterium
GCA_937936325.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
GCA_943330705.2	GTDB:Bdellovibrionota	Streptomyces griseus
