assembly_id	label	taxid	uniq_SCG_hits	perc_comp	perc_redund	domain	phylum	class	order	family	genus	specific_name
GCF_000002765.4	GCF_000002765.4_Eukaryota_Apicomplexa_Aconoidasida_Plasmodium_falciparum	36329	15	100.00	126.67	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum
GCF_000006605.1	GCF_000006605.1_Bacteria_Actinobacteria_NA_Corynebacterium_jeikeium	306537	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium
GCF_000007605.1	GCF_000007605.1_Bacteria_Chlamydiae_Chlamydiia_Chlamydia_caviae	227941	14	93.33	0.00	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia caviae
GCF_000008385.1	GCF_000008385.1_Bacteria_Proteobacteria_Alphaproteobacteria_Wolbachia_endosymbiont_of_Brugia_malayi	292805	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Brugia malayi
GCF_000008885.1	GCF_000008885.1_Bacteria_Proteobacteria_Gammaproteobacteria_Wigglesworthia_glossinidia	36870	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia
GCF_000012225.1	GCF_000012225.1_Bacteria_Tenericutes_Mollicutes_Aster_yellows_witches-broom_phytoplasma	322098	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Aster yellows witches'-broom phytoplasma
GCF_000021325.1	GCF_000021325.1_Bacteria_Proteobacteria_Alphaproteobacteria_Gluconacetobacter_diazotrophicus	272568	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter diazotrophicus
GCF_000022905.1	GCF_000022905.1_Bacteria_Actinobacteria_NA_Corynebacterium_aurimucosum	548476	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum
GCF_000023785.1	GCF_000023785.1_Bacteria_Proteobacteria_Alphaproteobacteria_Hirschia_baltica	582402	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hirschia	Hirschia baltica
GCF_000024425.1	GCF_000024425.1_Bacteria_Deinococcus-Thermus_Deinococci_Meiothermus_ruber	504728	14	93.33	0.00	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus ruber
