input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	uniq_SCG_hits	perc_comp	perc_redund
GCF_000005825.2	GCF_000005825.2	ASM582v2	398511	Bacillus pseudofirmus OF4	strain=OF4	latest	Complete Genome	14	93.33	0.00
GCF_000002515.2	GCF_000002515.2	ASM251v1	28985	Kluyveromyces lactis	strain=NRRL Y-1140	latest	Complete Genome	14	93.33	93.33
GCF_000002765.4	GCF_000002765.4	ASM276v2	36329	Plasmodium falciparum 3D7	NA	latest	Complete Genome	15	100.00	126.67
GCF_000002725.2	GCF_000002725.2	ASM272v2	347515	Leishmania major strain Friedlin	strain=Friedlin	latest	Complete Genome	14	93.33	166.67
GCF_000006175.1	GCF_000006175.1	ASM617v2	456320	Methanococcus voltae A3	strain=A3	latest	Complete Genome	14	93.33	0.00
GCF_000006605.1	GCF_000006605.1	ASM660v1	306537	Corynebacterium jeikeium K411	NA	latest	Complete Genome	14	93.33	0.00
GCF_000006685.1	GCF_000006685.1	ASM668v1	243161	Chlamydia muridarum str. Nigg	strain=Nigg	latest	Complete Genome	14	93.33	0.00
GCF_000006725.1	GCF_000006725.1	ASM672v1	160492	Xylella fastidiosa 9a5c	strain=9a5c	latest	Complete Genome	14	93.33	0.00
GCF_000006805.1	GCF_000006805.1	ASM680v1	64091	Halobacterium salinarum NRC-1	strain=NRC-1; ATCC 700922	latest	Complete Genome	14	93.33	6.67
GCF_000007025.1	GCF_000007025.1	ASM702v1	272944	Rickettsia conorii str. Malish 7	strain=Malish 7	latest	Complete Genome	14	93.33	0.00
GCF_000007085.1	GCF_000007085.1	ASM708v1	273068	Caldanaerobacter subterraneus subsp. tengcongensis MB4	strain=MB4	latest	Complete Genome	14	93.33	0.00
GCF_000007125.1	GCF_000007125.1	ASM712v1	224914	Brucella melitensis bv. 1 str. 16M	strain=16M	latest	Complete Genome	13	86.67	0.00
GCF_000007305.1	GCF_000007305.1	ASM730v1	186497	Pyrococcus furiosus DSM 3638	strain=DSM 3638	latest	Complete Genome	14	93.33	0.00
GCF_000007365.1	GCF_000007365.1	ASM736v1	198804	Buchnera aphidicola str. Sg (Schizaphis graminum)	strain=Sg	latest	Complete Genome	14	93.33	0.00
GCF_000007345.1	GCF_000007345.1	ASM734v1	188937	Methanosarcina acetivorans C2A	strain=C2A	latest	Complete Genome	14	93.33	6.67
GCF_000007485.1	GCF_000007485.1	ASM748v1	203267	Tropheryma whipplei str. Twist	strain=Twist	latest	Complete Genome	14	93.33	0.00
GCF_000007605.1	GCF_000007605.1	ASM760v1	227941	Chlamydia caviae GPIC	NA	latest	Complete Genome	14	93.33	0.00
GCF_000007625.1	GCF_000007625.1	ASM762v1	212717	Clostridium tetani E88	strain=Massachusetts substr. E88	latest	Complete Genome	14	93.33	0.00
GCF_000007725.1	GCF_000007725.1	ASM772v1	224915	Buchnera aphidicola str. Bp (Baizongia pistaciae)	strain=Bp (Baizongia pistaciae)	latest	Complete Genome	14	93.33	0.00
