pfam_id	name	description	average_coverage
PF00709.28	Adenylsucc_synt	Adenylosuccinate synthetase	93.8
PF00406.30	ADK	Adenylate kinase	60.95
PF05221.24	AdoHcyase	S-adenosyl-L-homocysteine hydrolase	91.86
PF00231.25	ATP-synt	ATP synthase	93.93
PF00119.26	ATP-synt_A	ATP synthase A chain	78.53
PF00137.27	ATP-synt_C	ATP synthase subunit C	60.09
PF02823.23	ATP-synt_DE_N	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	56.21
PF21095.4	CarD_C	CarD, C-terminal domain	50.36
PF02464.24	CinA	CinA C-terminal domain	60.39
PF01121.27	CoaE	Dephospho-CoA kinase	70.11
PF02599.22	CsrA	Global regulator protein family	66.77
PF02224.25	Cytidylate_kin	Cytidylate kinase	82.43
PF01678.25	DAP_epimerase	Diaminopimelate epimerase	81.27
PF05258.18	DciA	Dna[CI] antecedent, DciA	55.43
PF00889.26	EF_TS	Elongation factor TS	62.63
PF00113.29	Enolase_C	Enolase, C-terminal TIM barrel domain	64.38
PF02601.21	Exonuc_VII_L	Exonuclease VII, large subunit	71.07
PF02609.22	Exonuc_VII_S	Exonuclease VII small subunit	62.87
PF04316.20	FlgM	Anti-sigma-28 factor, FlgM	54.33
PF01025.25	GrpE	GrpE	76.95
PF01715.24	IPPT	IPP transferase	68.38
PF02502.24	LacAB_rpiB	Ribose/Galactose Isomerase	83.27
PF02606.21	LpxK	Tetraacyldisaccharide-1-P 4'-kinase	91.22
PF01795.26	Methyltransf_5	MraW methylase family	91.09
PF12631.13	MnmE_helical	MnmE helical domain	68.95
PF00334.25	NDK	Nucleoside diphosphate kinase	66.35
PF02357.25	NusG	Transcription termination factor nusG	51.26
PF00215.31	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family	77.18
PF03938.20	OmpH	Outer membrane protein (OmpH-like)	72.21
PF00213.24	OSCP	ATP synthase delta (OSCP) subunit	76.81
PF01195.27	Pept_tRNA_hydro	Peptidyl-tRNA hydrolase	87.12
PF00342.25	PGI	Phosphoglucose isomerase	80.84
PF00162.25	PGK	Phosphoglycerate kinase	89.82
PF04608.19	PgpA	Phosphatidylglycerophosphatase A	84.47
PF01255.25	Prenyltransf	Putative undecaprenyl diphosphate synthase	79.26
PF02547.21	Queuosine_synth	Queuosine biosynthesis protein	96.55
PF02033.24	RBFA	Ribosome-binding factor A	67.87
PF00687.27	Ribosomal_L1	Ribosomal protein L1p/L10e family	69.67
PF00572.25	Ribosomal_L13	Ribosomal protein L13	65.13
PF00238.25	Ribosomal_L14	Ribosomal protein L14p/L23e	87.58
PF00252.25	Ribosomal_L16	Ribosomal protein L16p/L10e	73.46
PF01196.25	Ribosomal_L17	Ribosomal protein L17	59.62
PF00861.28	Ribosomal_L18p	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	82.4
PF01245.27	Ribosomal_L19	Ribosomal protein L19	69.06
PF00453.24	Ribosomal_L20	Ribosomal protein L20	82.75
PF00829.27	Ribosomal_L21p	Ribosomal prokaryotic L21 protein	69.69
